DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
15-05-2020 00:00,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 00:15,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 00:30,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 00:45,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 01:00,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 01:15,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 01:30,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 01:45,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 02:00,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 02:15,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 02:30,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 02:45,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 03:00,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 03:15,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 03:30,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 03:45,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 04:00,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 04:15,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 04:30,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 04:45,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 05:00,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 05:15,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 05:30,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 05:45,4135001,bvBOhCH3iADSZry,0,0,0,6316803
15-05-2020 06:00,4135001,bvBOhCH3iADSZry,37,3.571428571,0,6316803
15-05-2020 06:15,4135001,bvBOhCH3iADSZry,279.625,27.0125,3,6316806
15-05-2020 06:30,4135001,bvBOhCH3iADSZry,627.4285714,60.77142857,13.85714286,6316816.857
15-05-2020 06:45,4135001,bvBOhCH3iADSZry,1210,117.8125,34.75,6316837.75
15-05-2020 07:00,4135001,bvBOhCH3iADSZry,1739.571429,170.5,72.57142857,6316875.571
15-05-2020 07:15,4135001,bvBOhCH3iADSZry,1873.5,183.65,116.25,6316919.25
15-05-2020 07:30,4135001,bvBOhCH3iADSZry,1865.142857,182.8,162.8571429,6316965.857
15-05-2020 07:45,4135001,bvBOhCH3iADSZry,1890.125,185.3,207.625,6317010.625
15-05-2020 08:00,4135001,bvBOhCH3iADSZry,2921.571429,286.8142857,262.5714286,6317065.571
15-05-2020 08:15,4135001,bvBOhCH3iADSZry,3702.75,363.9125,347.625,6317150.625
15-05-2020 08:30,4135001,bvBOhCH3iADSZry,4529.428571,444.4,453,6317256
15-05-2020 08:45,4135001,bvBOhCH3iADSZry,4415.625,433.2,547.875,6317350.875
15-05-2020 09:00,4135001,bvBOhCH3iADSZry,6829.428571,668.8571429,699.1428571,6317502.143
15-05-2020 09:15,4135001,bvBOhCH3iADSZry,3834.25,376.325,830.5,6317633.5
15-05-2020 09:30,4135001,bvBOhCH3iADSZry,3299.428571,323.7,903.1428571,6317706.143
15-05-2020 09:45,4135001,bvBOhCH3iADSZry,6281,615.3428571,1006.857143,6317809.857
15-05-2020 10:00,4135001,bvBOhCH3iADSZry,5785.125,567.0625,1173.25,6317976.25
15-05-2020 10:15,4135001,bvBOhCH3iADSZry,6173.285714,604.3857143,1311.142857,6318114.143
15-05-2020 10:30,4135001,bvBOhCH3iADSZry,4439.875,435.7875,1454.625,6318257.625
15-05-2020 10:45,4135001,bvBOhCH3iADSZry,4342.428571,426.4285714,1564,6318367
15-05-2020 11:00,4135001,bvBOhCH3iADSZry,7113.625,696.1375,1711.5,6318514.5
15-05-2020 11:15,4135001,bvBOhCH3iADSZry,5902.428571,578.2571429,1865.285714,6318668.286
15-05-2020 11:30,4135001,bvBOhCH3iADSZry,7353.125,719.0625,2024.375,6318827.375
15-05-2020 11:45,4135001,bvBOhCH3iADSZry,8394.428571,821.2285714,2185.142857,6318988.143
15-05-2020 12:00,4135001,bvBOhCH3iADSZry,7961.875,778.7875,2399.625,6319202.625
15-05-2020 12:15,4135001,bvBOhCH3iADSZry,9371.571429,916.2142857,2614,6319417
15-05-2020 12:30,4135001,bvBOhCH3iADSZry,8894.25,869.975,2846.625,6319649.625
15-05-2020 12:45,4135001,bvBOhCH3iADSZry,8647.714286,846.0285714,3043.428571,6319846.429
15-05-2020 13:00,4135001,bvBOhCH3iADSZry,5897.5,577.9375,3199.875,6320002.875
15-05-2020 13:15,4135001,bvBOhCH3iADSZry,6266.571429,613.9571429,3356.571429,6320159.571
15-05-2020 13:30,4135001,bvBOhCH3iADSZry,7505.857143,734.9,3513,6320316
15-05-2020 13:45,4135001,bvBOhCH3iADSZry,7242.125,709.15,3695.25,6320498.25
15-05-2020 14:00,4135001,bvBOhCH3iADSZry,9364.285714,915.9142857,3897.285714,6320700.286
15-05-2020 14:15,4135001,bvBOhCH3iADSZry,10578.875,1033.575,4146.875,6320949.875
15-05-2020 14:30,4135001,bvBOhCH3iADSZry,5808,569.1142857,4364.285714,6321167.286
15-05-2020 14:45,4135001,bvBOhCH3iADSZry,6917.625,677.2,4498.625,6321301.625
